epoch,accuracy,loss,val_accuracy,val_loss
0,0.6682927012443542,52.085777282714844,0.7450980544090271,51.143550872802734
1,0.785365879535675,50.87464904785156,0.7450980544090271,49.98906707763672
2,0.785365879535675,49.66926574707031,0.7450980544090271,48.899803161621094
3,0.785365879535675,48.59172058105469,0.7450980544090271,47.80057907104492
4,0.785365879535675,47.490135192871094,0.7450980544090271,46.702301025390625
5,0.785365879535675,46.38332748413086,0.7450980544090271,45.606300354003906
6,0.785365879535675,45.27958679199219,0.7450980544090271,44.52252960205078
7,0.785365879535675,44.22757339477539,0.7450980544090271,43.47538375854492
8,0.785365879535675,43.18109893798828,0.7450980544090271,42.450462341308594
9,0.785365879535675,42.131797790527344,0.7450980544090271,41.43138122558594
10,0.785365879535675,41.12806701660156,0.7450980544090271,40.41646194458008
11,0.785365879535675,40.10346984863281,0.7450980544090271,39.40849685668945
12,0.785365879535675,39.11067199707031,0.7450980544090271,38.415504455566406
13,0.785365879535675,38.12232971191406,0.7450980544090271,37.442893981933594
14,0.785365879535675,37.13705825805664,0.7450980544090271,36.48502731323242
